UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,TYPE2 7kW Custo €,TYPE2 22kW Custo €,Duração (minutos) até 130kW,Duração (minutos) até 7kW,Duração (minutos) até 22kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,TIPO DE TOMADA,FORMATO DA TOMADA,ESTADO DO POSTO,ESTADO DA TOMADA
VNG-90013-02,Vila Nova de Gaia,Avenida de Beira Mar,EDP - EDP Comercial,0.304,2.335,0.576,75,583,144,37.0,"€0,004/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90013-01,Vila Nova de Gaia,Avenida de Beira Mar,EDP - EDP Comercial,0.304,2.335,0.576,75,583,144,37.0,"€0,004/min ",,,Mennekes,SOCKET,Disponível,Em uso
PRT-90082-1,Porto,Rua Duque de Loulé,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37.0,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90082-4,Porto,Rua Duque de Loulé,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37.0,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90082-3,Porto,Rua Duque de Loulé,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37.0,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90082-2,Porto,Rua Duque de Loulé,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37.0,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90002-04,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37.0,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90002-02,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37.0,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90002-01,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37.0,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Em uso
VNG-90002-03,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power dot,0.349,2.685,0.662,75,583,144,37.0,"€0,0046/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90081-1,Porto,Rua de Cedofeita,GLP - Galp,0.448,3.444,0.850,75,583,144,37.0,"€0,0059/min ",,,Mennekes,SOCKET,Disponível,Em uso
PRT-90081-3,Porto,Rua de Cedofeita,GLP - Galp,0.448,3.444,0.850,75,583,144,37.0,"€0,0059/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90081-4,Porto,Rua de Cedofeita,GLP - Galp,0.448,3.444,0.850,75,583,144,37.0,"€0,0059/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90081-2,Porto,Rua de Cedofeita,GLP - Galp,0.448,3.444,0.850,75,583,144,37.0,"€0,0059/min ",,,Mennekes,SOCKET,Disponível,Disponível
