UID DA TOMADA,CIDADE,MORADA,OPERADOR,TYPE2 22kW Custo €,Duração (minutos) até 22kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
LRA-90006-1,Leiria,Avenida Heróis de Angola,HRZ - Power dot,0.533,144,37,"€0,0037/min ",,,SOCKET,Disponível
LRA-90006-3,Leiria,Avenida Heróis de Angola,HRZ - Power dot,0.533,144,37,"€0,0037/min ",,,SOCKET,Disponível
LRA-90006-4,Leiria,Avenida Heróis de Angola,HRZ - Power dot,0.533,144,37,"€0,0037/min ",,,SOCKET,Disponível
LRA-90006-2,Leiria,Avenida Heróis de Angola,HRZ - Power dot,0.533,144,37,"€0,0037/min ",,,SOCKET,Disponível
LRA-90003-2,Leiria,Rua Olimpio Duarte Alves,EDP - EDP Comercial,0.576,144,37,"€0,004/min ",,,SOCKET,Disponível
LRA-90003-1,Leiria,Rua Olimpio Duarte Alves,EDP - EDP Comercial,0.576,144,37,"€0,004/min ",,,SOCKET,Em uso
LRA-90009-02,Leiria,Rua Luís Silveira Charters Azevedo,EDP - EDP Comercial,0.576,144,37,"€0,004/min ",,,SOCKET,Em uso
LRA-90009-01,Leiria,Rua Luís Silveira Charters Azevedo,EDP - EDP Comercial,0.576,144,37,"€0,004/min ",,,SOCKET,Disponível
LRA-90001-02,Leiria,Rua Francisco Clemente,HRZ - Power dot,0.662,144,37,"€0,0046/min ",,,SOCKET,Disponível
LRA-90001-01,Leiria,Rua Francisco Clemente,HRZ - Power dot,0.662,144,37,"€0,0046/min ",,,SOCKET,Disponível
LRA-90002-1,Leiria,Estrada da Mata,HRZ - Power dot,0.662,144,37,"€0,0046/min ",,,SOCKET,Em uso
LRA-90002-2,Leiria,Estrada da Mata,HRZ - Power dot,0.662,144,37,"€0,0046/min ",,,SOCKET,Disponível
LRA-90005-6,Leiria,Via do Polis Leiria,GLP - Galp,0.850,144,37,"€0,0059/min ",,,SOCKET,Disponível
LRA-90005-5,Leiria,Via do Polis Leiria,GLP - Galp,0.850,144,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90005-1,Leiria,Via do Polis Leiria,GLP - Galp,0.850,144,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90005-4,Leiria,Via do Polis Leiria,GLP - Galp,0.850,144,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90005-3,Leiria,Via do Polis Leiria,GLP - Galp,0.850,144,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90005-2,Leiria,Via do Polis Leiria,GLP - Galp,0.850,144,37,"€0,0059/min ",,,SOCKET,Offline
LRA-90007-2,Leiria,Largo da República,EDP - EDP Comercial,1.008,144,22,"€0,007/min ",,,SOCKET,Disponível
LRA-90007-1,Leiria,Largo da República,EDP - EDP Comercial,1.008,144,22,"€0,007/min ",,,SOCKET,Disponível
LRA-90004-1,Leiria,Avenida 22 de Maio,KLC - Atlante,2.160,144,22,"€0,015/min ",,,SOCKET,Disponível
LRA-90004-2,Leiria,Avenida 22 de Maio,KLC - Atlante,2.160,144,22,"€0,015/min ",,,SOCKET,Em uso
LRA-00015-02,Leiria,Makro Leiria,GLP - Galp,2.997,144,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
LRA-00015-01,Leiria,Makro Leiria,GLP - Galp,2.997,144,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MGR-00006-02,Marinha Grande,R. de Leiria 112,HRZ - Power dot,3.900,144,74,"€0,3/charge ","€0,025/min ",,SOCKET,Disponível
MGR-00006-01,Marinha Grande,R. de Leiria 112,HRZ - Power dot,3.900,144,74,"€0,3/charge ","€0,025/min ",,SOCKET,Disponível
LRA-00027-1,Leiria,Largo Salgueiro Maia,MAK - Maksu,4.320,144,22,"€0,03/min ",,,SOCKET,Disponível
LRA-00040-1,Leiria,Rua da Europa,KLC - Atlante,4.581,144,22,"€0,2609/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00041-1,Leiria,Rua da Europa,KLC - Atlante,4.581,144,22,"€0,2609/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00042-1,Leiria,Rua da Europa,KLC - Atlante,4.581,144,22,"€0,2609/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00043-1,Leiria,Rua da Europa,KLC - Atlante,4.581,144,22,"€0,2609/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00044-1,Leiria,Rua da Europa,KLC - Atlante,4.581,144,22,"€0,2609/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00045-1,Leiria,Rua da Europa,KLC - Atlante,4.581,144,22,"€0,2609/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00017-02,Leiria,Praça Goa Damão e Diu,EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00017-01,Leiria,Praça Goa Damão e Diu,EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00081-02,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00081-01,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00082-01,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00082-02,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00083-01,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00083-02,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00084-02,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00084-01,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00085-02,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00085-01,Leiria,"Rua Santo André, Leiria",EDP - EDP Comercial,4.617,144,22,"€0,297/charge ","€0,03/min ",,SOCKET,Disponível
LRA-00022-01,Leiria,Rua do Pisão,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00022-02,Leiria,Rua do Pisão,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00023-02,Leiria,Rua do Pisão,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00023-01,Leiria,Rua do Pisão,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00024-02,Leiria,Rua da Cooperativa,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00024-01,Leiria,Rua da Cooperativa,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00048-01,Leiria,Largo Infantaria 7,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00048-02,Leiria,Largo Infantaria 7,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
LRA-00049-01,Leiria,Largo Infantaria 7,HRZ - Power dot,5.340,144,22,"€0,3/charge ","€0,035/min ",,SOCKET,Disponível
