"UID DA TOMADA","CIDADE","MORADA","OPERADOR","TYPE2 7kW Custo €","Duração (minutos) até 7kW","TARIFA 1","TARIFA 2","TARIFA 3","POTÊNCIA DA TOMADA (kW)","FORMATO DA TOMADA","ESTADO DA TOMADA"
ALM-00014-1,Almada,Praia da Rainha,MOB - MOBI.E,"0.000","0",€0/min ,"","","3,7",SOCKET,Em uso
ALM-00014-2,Almada,Praia da Rainha,MOB - MOBI.E,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
ALM-90007-02,Almada,Avenida Bento Gonçalves,KLC - Atlante,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
ALM-90007-01,Almada,Avenida Bento Gonçalves,KLC - Atlante,"0.000","0",€0/min ,"","","3,7",SOCKET,Em uso
FUN-00006-01,Funchal,Rua Nova do Vale da Ajuda,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Em uso
FUN-00006-02,Funchal,Rua Nova do Vale da Ajuda,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00007-01,Funchal,Caminho do Poço Barral,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00007-02,Funchal,Caminho do Poço Barral,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00010-02,Funchal,Avenida das Madalenas,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00010-01,Funchal,Avenida das Madalenas,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00011-01,Funchal,Madeira Tecnopolo - Caminho da Penteada,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Em uso
FUN-00011-02,Funchal,Madeira Tecnopolo - Caminho da Penteada,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00015-02,Funchal,Rua dos Ferreiros,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Em uso
FUN-00015-01,Funchal,Rua dos Ferreiros,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00016-01,Funchal,Rua Nova da Igreja,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00016-02,Funchal,Rua Nova da Igreja,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
FUN-00035-02,Funchal,"Edifício 2000, Av. Calouste Gulbenkien",FAC - Factor Energia,"0.000","0",€0/min ,"","","11",SOCKET,Disponível
FUN-00035-01,Funchal,"Edifício 2000, Av. Calouste Gulbenkien",FAC - Factor Energia,"0.000","0",€0/min ,"","","11",SOCKET,Disponível
MLD-00001-1,Mealhada,Churrasqueira Rocha,EVC - Evce,"0.000","0",€0/min ,"","","11",SOCKET,Disponível
MLD-00001-2,Mealhada,Churrasqueira Rocha,EVC - Evce,"0.000","0",€0/min ,"","","11",SOCKET,Em uso
OBD-00004-1,Óbidos,Largo de S. Pedro,PRI - Prio,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
PMZ-00004-02,Porto Moniz,Praça do Lyra,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
PMZ-00004-01,Porto Moniz,Praça do Lyra,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",CABLE,Disponível
PMZ-00005-01,Porto Moniz,Estrada Regional 101 - Santa,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
PMZ-00005-02,Porto Moniz,Estrada Regional 101 - Santa,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00002-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00002-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00003-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00003-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00004-1,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
SCR-00004-2,Santa Cruz,Aeroportos da Madeira,FAC - Factor Energia,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
TND-00002-1,Tondela,Rua Doutor Amadeu Ferraz de Carvalho,MOB - MOBI.E,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
TND-00002-2,Tondela,Rua Doutor Amadeu Ferraz de Carvalho,MOB - MOBI.E,"0.000","0",€0/min ,"","","3,7",SOCKET,Disponível
VRL-00014-02,Vila Real,Avenida Rainha Santa Isabel,GLD - Goldenergy,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
VRL-00014-01,Vila Real,Avenida Rainha Santa Isabel,GLD - Goldenergy,"0.000","0",€0/min ,"","","22",SOCKET,Disponível
VFX-00006-1,Vila Franca de Xira,Rua Irene Lisboa,KLC - Atlante,"0.166","0","€0,1657/charge ","","","7,2",SOCKET,Disponível
LLE-00108-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Disponível
LLE-00108-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Em uso
LLE-00109-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Em uso
LLE-00109-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Disponível
LLE-00111-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
LLE-00111-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Disponível
LLE-00112-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
LLE-00112-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Disponível
LLE-00113-01,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
LLE-00113-02,Loulé,MAR Shopping Algarve – Av. Algarve,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Disponível
MTS-00075-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Em uso
MTS-00075-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0","€0,2608/charge ","","","22",SOCKET,Disponível
MTS-00078-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Disponível
MTS-00078-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
MTS-00079-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Disponível
MTS-00079-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
MTS-00080-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Em uso
MTS-00080-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,"0.261","0","€0,2608/charge ","","","7,4",SOCKET,Disponível
ACH-00004-2,Alcochete,Avenida Euro 2004,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
ACH-00004-1,Alcochete,Avenida Euro 2004,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Em uso
ALB-00001-2,Albergaria-a-Velha,Aveinda 5 de Outubro,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
ALB-00001-1,Albergaria-a-Velha,Aveinda 5 de Outubro,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
TBC-00001-1,Tabuaço,Rua Macedo Pinto,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
TBC-00001-2,Tabuaço,Rua Macedo Pinto,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
VCD-00003-2,Vila do Conde,Avenida Fonte Cova,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
VCD-00003-1,Vila do Conde,Avenida Fonte Cova,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Em uso
VLC-00003-2,Vale de Cambra,R. Dr. Domingos de Almeida Brandão,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
VLC-00003-1,Vale de Cambra,R. Dr. Domingos de Almeida Brandão,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Em uso
VLC-00005-01,Vale de Cambra,Av. Vale do Caima,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
VLC-00005-02,Vale de Cambra,Av. Vale do Caima,KLC - Atlante,"0.296","0","€0,2964/charge ","","","22",SOCKET,Disponível
LSB-00075-02,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0","€0,297/charge ","","","11",SOCKET,Disponível
LSB-00075-01,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0","€0,297/charge ","","","11",SOCKET,Disponível
LSB-00077-01,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0","€0,297/charge ","","","11",SOCKET,Disponível
LSB-00077-02,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0","€0,297/charge ","","","11",SOCKET,Disponível
LSB-00082-01,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0","€0,297/charge ","","","11",SOCKET,Disponível
LSB-00082-02,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0","€0,297/charge ","","","11",SOCKET,Disponível
LSB-00086-02,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0","€0,297/charge ","","","22",SOCKET,Disponível
LSB-00086-01,Lisboa,"Avenida Antonio Augusto Aguiar, 132",EDP - EDP Comercial,"0.297","0","€0,297/charge ","","","22",SOCKET,Em uso
SNT-00095-02,Sintra,"Rua Matos Cruzadas EN9, Quinta da Beloura II",HRZ - Power dot,"0.300","0","€0,3/charge ","","","7,4",SOCKET,Disponível
SNT-00095-01,Sintra,"Rua Matos Cruzadas EN9, Quinta da Beloura II",HRZ - Power dot,"0.300","0","€0,3/charge ","","","7,4",SOCKET,Disponível
SNT-00096-01,Sintra,"Rua Matos Cruzadas EN9, Quinta da Beloura II",HRZ - Power dot,"0.300","0","€0,3/charge ","","","7,4",SOCKET,Disponível
SNT-00096-02,Sintra,"Rua Matos Cruzadas EN9, Quinta da Beloura II",HRZ - Power dot,"0.300","0","€0,3/charge ","","","7,4",SOCKET,Disponível
CSC-00104-01,Cascais,Rua Dr. Fernando MF Batista Viegas,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
CSC-00104-02,Cascais,Rua Dr. Fernando MF Batista Viegas,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
CSC-00105-02,Cascais,Avenida da Republica,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Em uso
CSC-00105-01,Cascais,Avenida da Republica,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
CSC-00106-01,Cascais,Avenida Tenente Coronel Melo Antunes,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Em uso
CSC-00106-02,Cascais,Avenida Tenente Coronel Melo Antunes,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
CSC-00108-02,Cascais,Avenida Tenente Coronel Melo Antunes,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
CSC-00108-01,Cascais,Avenida Tenente Coronel Melo Antunes,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
CSC-00109-02,Cascais,Rua Dom. Francisco de Avilez,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
CSC-00109-01,Cascais,Rua Dom. Francisco de Avilez,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Em uso
CSC-00111-01,Cascais,Avenida da Republica,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
CSC-00111-02,Cascais,Avenida da Republica,"CSC - Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A","0.370","0","€0,37/charge ","","","22",SOCKET,Disponível
GMR-00055-02,Guimarães,Travessa do Bonfim,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00055-01,Guimarães,Travessa do Bonfim,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00056-01,Guimarães,Alameda Prof. Abel Salazar,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00056-02,Guimarães,Alameda Prof. Abel Salazar,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00057-02,Guimarães,Avenida de Londres,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00057-01,Guimarães,Avenida de Londres,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00058-02,Guimarães,Alameda dos Desportos,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00058-01,Guimarães,Alameda dos Desportos,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00059-02,Guimarães,"Rua do Miral, frente ao nº 84",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Fora de Serviço
GMR-00059-01,Guimarães,"Rua do Miral, frente ao nº 84",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00064-01,Guimarães,"Av. Conde Margaride,face ao Hotel Ibis",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","20",SOCKET,Em uso
GMR-00064-02,Guimarães,"Av. Conde Margaride,face ao Hotel Ibis",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","20",SOCKET,Disponível
GMR-00066-01,Guimarães,"Rua da Unidade Vimaranense, frente ao nº 90",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00066-02,Guimarães,"Rua da Unidade Vimaranense, frente ao nº 90",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00067-01,Guimarães,Praça Heróis da Fundação,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","20",SOCKET,Disponível
GMR-00067-02,Guimarães,Praça Heróis da Fundação,HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","20",SOCKET,Disponível
GMR-00069-01,Guimarães,"Rua Arq. Marques da Silva,frente ao nº 146",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00069-02,Guimarães,"Rua Arq. Marques da Silva,frente ao nº 146",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00071-02,Guimarães,"Urbanização da Cruz Argola, Rua C",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
GMR-00071-01,Guimarães,"Urbanização da Cruz Argola, Rua C",HEX - Hexagonal Ocean,"3.215","0","€0,296/charge ","€0,005/min ","","8,3",SOCKET,Disponível
LSB-00413-1,Lisboa,Universidade Católica Portuguesa,MOT - Renewing,"3.261","0","€0,2608/charge ","€0,05/kWh ",€0/min ,"22",SOCKET,Disponível
LSB-00414-1,Lisboa,Universidade Católica Portuguesa,MOT - Renewing,"3.261","0","€0,2608/charge ","€0,05/kWh ",€0/min ,"22",SOCKET,Disponível
LSB-00415-1,Lisboa,Universidade Católica Portuguesa,MOT - Renewing,"3.261","0","€0,2608/charge ","€0,05/kWh ",€0/min ,"22",SOCKET,Disponível
LSB-00416-1,Lisboa,Universidade Católica Portuguesa,MOT - Renewing,"3.261","0","€0,2608/charge ","€0,05/kWh ",€0/min ,"22",SOCKET,Disponível
PRT-00117-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,"3.261","0","€0,2608/charge ","€0,05/kWh ",€0/min ,"11",SOCKET,Disponível
PRT-00118-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,"3.261","0","€0,2608/charge ","€0,05/kWh ",€0/min ,"11",SOCKET,Disponível
PRT-00119-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,"3.261","0","€0,2608/charge ","€0,05/kWh ",€0/min ,"22",SOCKET,Disponível
PRT-00120-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,"3.261","0","€0,2608/charge ","€0,05/kWh ",€0/min ,"22",SOCKET,Disponível
ABF-00005-02,Albufeira,Rua do Município,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Em uso
ABF-00005-01,Albufeira,Rua do Município,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Disponível
ABF-00006-01,Albufeira,Rua Manuel Bentes Junior,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Disponível
ABF-00006-02,Albufeira,Rua Manuel Bentes Junior,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Disponível
ABF-00029-01,Albufeira,Rua 25 de Abril,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Em uso
ABF-00029-02,Albufeira,Rua 25 de Abril,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Disponível
ABF-00031-01,Albufeira,Rua das Escolas,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Disponível
ABF-00031-02,Albufeira,Rua das Escolas,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Disponível
ABF-00032-01,Albufeira,Rua do Mercado,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Em uso
ABF-00032-02,Albufeira,Rua do Mercado,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Disponível
ABF-00033-02,Albufeira,Rua do Barlavento,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Em uso
ABF-00033-01,Albufeira,Rua do Barlavento,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","22",SOCKET,Disponível
CLB-00004-1,Celorico da Beira,Quinta dos Cedros,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","7,4",SOCKET,Disponível
CLB-00005-1,Celorico da Beira,Quinta dos Cedros,KLC - Atlante,"3.896","0","€0,2964/charge ","€0,06/kWh ","","7,4",SOCKET,Disponível
AVR-90003-2,Aveiro,Rua do Príncipe Perfeito,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
AVR-90003-1,Aveiro,Rua do Príncipe Perfeito,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Em uso
CBR-90009-1,Coimbra,"Rua Flávio Rodrigues, AB",EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Em uso
CBR-90009-2,Coimbra,"Rua Flávio Rodrigues, AB",EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
FAR-90002-1,Faro,Avenida da República,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
FAR-90002-2,Faro,Avenida da República,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
LRA-90007-2,Leiria,Largo da República,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
LRA-90007-1,Leiria,Largo da República,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
LRS-90018-01,Loures,Praceta José Régio,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Em uso
LRS-90018-02,Loures,Praceta José Régio,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
LRS-90031-1,Loures,Rua Mouzinho de Albuquerque ,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
LRS-90031-2,Loures,Rua Mouzinho de Albuquerque ,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Em uso
LSB-90097-1,Lisboa,Campo Grande,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
LSB-90097-2,Lisboa,Campo Grande,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
STB-90006-2,Setúbal,Avenida Luísa Todi,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
STB-90006-1,Setúbal,Avenida Luísa Todi,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Em uso
VIS-90036-1,Viseu,Rua Silva Gaio,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
VIS-90036-2,Viseu,Rua Silva Gaio,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Em uso
VNG-80012-01,Vila Nova de Gaia,Alameda Senhor da Pedra,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Em uso
VNG-80012-02,Vila Nova de Gaia,Alameda Senhor da Pedra,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
VNG-90006-01,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
VNG-90006-02,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
VRL-90004-1,Vila Real,Avenida da Universidade,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Disponível
VRL-90004-2,Vila Real,Avenida da Universidade,EDP - EDP Comercial,"4.086","0","€0,007/min ","","","22",SOCKET,Fora de Serviço
CLD-90003-1,Caldas da Rainha,Avenida da Independência Nacional,EDP - EDP Comercial,"4.200","0","€0,007/min ","","","7,2",SOCKET,Disponível
CLD-90003-2,Caldas da Rainha,Avenida da Independência Nacional,EDP - EDP Comercial,"4.200","0","€0,007/min ","","","7,2",SOCKET,Disponível
PTG-90002-01,Portalegre,Rua de Olivença,EDP - EDP Comercial,"4.200","0","€0,007/min ","","","7,2",SOCKET,Disponível
PTG-90002-02,Portalegre,Rua de Olivença,EDP - EDP Comercial,"4.200","0","€0,007/min ","","","7,2",SOCKET,Disponível
ALM-90004-01,Almada,Rua Capitão Leitão,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
ALM-90004-02,Almada,Rua Capitão Leitão,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
ALM-90020-2,Almada,Praia do Rei,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Em uso
ALM-90020-1,Almada,Praia do Rei,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
AVR-90005-1,Aveiro,Avenida Doutor Lourenço Peixinho,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
AVR-90005-2,Aveiro,Avenida Doutor Lourenço Peixinho,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
AVR-90005-3,Aveiro,Avenida Doutor Lourenço Peixinho,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Fora de Serviço
AVR-90005-4,Aveiro,Avenida Doutor Lourenço Peixinho,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Em uso
CBR-90003-03,Coimbra,Praça Dom Dinis,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Em uso
CBR-90003-02,Coimbra,Praça Dom Dinis,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
CBR-90003-04,Coimbra,Praça Dom Dinis,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
CBR-90003-01,Coimbra,Praça Dom Dinis,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
CBR-90008-02,Coimbra,Rua 5 de Outubro,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
CBR-90008-01,Coimbra,Rua 5 de Outubro,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
EVR-90007-2,Évora,Avenida Infante Dom Henrique,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
EVR-90007-1,Évora,Avenida Infante Dom Henrique,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
FAR-90005-2,Faro,Rua da Cidade de Bolama,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
FAR-90005-1,Faro,Rua da Cidade de Bolama,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
GRD-90002-2,Guarda,Rua Marquês de Pombal,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
GRD-90002-1,Guarda,Rua Marquês de Pombal,HRZ - Power dot,"4.320","0","€0,0037/min ","","","3,7",SOCKET,Disponível
