UID DA TOMADA,CIDADE,MORADA,OPERADOR,TYPE2 7kW Custo €,Duração (minutos) até 7kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
SNS-00010-01,Sines,Avenida da Trindade,KLC - Atlante,46.703,583,43,"€0,08/min ",,,CABLE,Disponível
SNS-00008-03,Sines,"LT Municipal a Norte da R52, Lote 3",EDP - EDP Comercial,57.038,583,22,"€0,297/charge ","€0,07/kWh ","€0,09/min ",SOCKET,Em uso
SNS-00005-03,Sines,Parque Industrial de Sines,HLX - Helexia,58.639,583,43,"€0,2608/charge ","€0,1/min ",,CABLE,Disponível
SNS-00004-03,Sines,Rua da Floresta,EDP - EDP Comercial,58.675,583,43,"€0,297/charge ","€0,1/min ",,CABLE,Disponível
SNS-00006-03,Sines,Avenida General Humberto Delgado,GLG - Galpgeste,70.315,583,43,"€0,2608/charge ","€0,12/min ",,CABLE,Disponível
