"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"EVR-90007";"EVR-90007-2";"Normal";"Disponível";"Évora";"Avenida Infante Dom Henrique";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0037/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T09:52:42.415Z"
"EVR-90007";"EVR-90007-1";"Normal";"Disponível";"Évora";"Avenida Infante Dom Henrique";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0037/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T09:52:42.415Z"
"EVR-90008";"EVR-90008-2";"Normal";"Disponível";"Évora";"Rua da Agricultura";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T10:11:19.927Z"
"EVR-90008";"EVR-90008-1";"Normal";"Disponível";"Évora";"Rua da Agricultura";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-28T10:11:19.927Z"
"EVR-90009";"EVR-90009-1";"Normal";"Disponível";"Évora";"Rua de Olivença";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Em uso";"2023-05-20T08:20:15.458Z"
"EVR-90009";"EVR-90009-2";"Normal";"Disponível";"Évora";"Rua de Olivença";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-20T08:20:15.458Z"
"MMN-00001";"MMN-00001-01";"Rápido";"Disponível";"Montemor-o-Novo";"A6 Km 55,4 (Marateca/Caia)";"GLG - Galpgeste";"Não";"Média Tensão";"€0,2608/charge ";"€0,12/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-28T10:39:24.46Z"
"MMN-00001";"MMN-00001-03";"Rápido";"Disponível";"Montemor-o-Novo";"A6 Km 55,4 (Marateca/Caia)";"GLG - Galpgeste";"Não";"Média Tensão";"€0,2608/charge ";"€0,12/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-28T10:39:24.46Z"
"MMN-00001";"MMN-00001-02";"Rápido";"Disponível";"Montemor-o-Novo";"A6 Km 55,4 (Marateca/Caia)";"GLG - Galpgeste";"Não";"Média Tensão";"€0,2608/charge ";"€0,12/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-28T10:39:24.46Z"
"MMN-00005";"MMN-00005-01";"Semirrápido";"Disponível";"Montemor-o-Novo";"A6 km 55.4 Oeste-Este";"GLG - Galpgeste";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-28T04:56:05.342Z"
"MMN-00005";"MMN-00005-02";"Semirrápido";"Disponível";"Montemor-o-Novo";"A6 km 55.4 Oeste-Este";"GLG - Galpgeste";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-28T04:56:05.342Z"
"MMN-00006";"MMN-00006-01";"Semirrápido";"Disponível";"Montemor-o-Novo";"A6 km 55.4 Este-Oeste";"GLG - Galpgeste";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-28T10:13:41.935Z"
"MMN-00006";"MMN-00006-02";"Semirrápido";"Disponível";"Montemor-o-Novo";"A6 km 55.4 Este-Oeste";"GLG - Galpgeste";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-28T10:13:41.935Z"
