"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"LRA-00075";"LRA-00075-02";"Rápido";"Disponível";"Leiria";"R. Virgílio Vieira da Cunha";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,09/kWh ";"€0,08/min ";"CCS";"CABLE";"100";"Disponível";"2023-05-11T15:09:16.398Z"
"LRA-00077";"LRA-00077-02";"Ultrarrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,26/min ";"";"CCS";"CABLE";"150";"Disponível";"2023-05-11T12:33:16.188Z"
"LRA-00077";"LRA-00077-01";"Ultrarrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,26/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T12:33:16.188Z"
"LRA-00079";"LRA-00079-02";"Rápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,1/min ";"";"CCS";"CABLE";"60";"Disponível";"2023-05-11T18:32:18.569Z"
"LRA-00079";"LRA-00079-01";"Rápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T18:32:18.569Z"
"LRA-00080";"LRA-00080-01";"Rápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Em uso";"2023-05-11T17:32:03.578Z"
"LRA-00080";"LRA-00080-02";"Rápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,1/min ";"";"CCS";"CABLE";"60";"Disponível";"2023-05-11T17:32:03.578Z"
"LRA-00081";"LRA-00081-02";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T09:15:48.228Z"
"LRA-00081";"LRA-00081-01";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T09:15:48.228Z"
"LRA-00082";"LRA-00082-01";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T14:54:08.348Z"
"LRA-00082";"LRA-00082-02";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T14:54:08.348Z"
"LRA-00083";"LRA-00083-01";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T12:41:02.191Z"
"LRA-00083";"LRA-00083-02";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T12:41:02.191Z"
