"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"PRT-00152";"PRT-00152-03";"Rápido";"Disponível";"Porto";"Rua Monte dos Burgos, nº 316";"REP - Repsol";"Não";"Baixa Tensão Especial";"€0,261/charge ";"€0,06/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-04-23T04:33:04.332Z"
"PRT-00152";"PRT-00152-01";"Rápido";"Disponível";"Porto";"Rua Monte dos Burgos, nº 316";"REP - Repsol";"Não";"Baixa Tensão Especial";"€0,261/charge ";"€0,06/min ";"";"CHAdeMO";"CABLE";"30";"Disponível";"2023-04-23T04:33:04.332Z"
"PRT-00152";"PRT-00152-02";"Rápido";"Disponível";"Porto";"Rua Monte dos Burgos, nº 316";"REP - Repsol";"Não";"Baixa Tensão Especial";"€0,261/charge ";"€0,06/min ";"";"CCS";"CABLE";"30";"Disponível";"2023-04-23T04:33:04.332Z"
"PRT-00153";"PRT-00153-03";"Rápido";"Disponível";"Porto";"Estrada Exterior da Circunvalação (EN 12)";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-22T17:59:38.182Z"
"PRT-00153";"PRT-00153-02";"Rápido";"Disponível";"Porto";"Estrada Exterior da Circunvalação (EN 12)";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-22T17:59:38.182Z"
"PRT-00153";"PRT-00153-01";"Rápido";"Disponível";"Porto";"Estrada Exterior da Circunvalação (EN 12)";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-04-22T17:59:38.182Z"
"PRT-00154";"PRT-00154-01";"Rápido";"Disponível";"Porto";"Rua Central de Francos, 744-758";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-04-23T14:03:32.586Z"
"PRT-00154";"PRT-00154-02";"Rápido";"Disponível";"Porto";"Rua Central de Francos, 744-758";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T14:03:32.586Z"
"PRT-00154";"PRT-00154-03";"Rápido";"Disponível";"Porto";"Rua Central de Francos, 744-758";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T14:03:32.586Z"
"PRT-00155";"PRT-00155-02";"Rápido";"Disponível";"Porto";"Avenida Marechal Gomes da Costa, 855";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CCS";"CABLE";"60";"Disponível";"2023-04-23T14:25:01.0Z"
"PRT-00155";"PRT-00155-01";"Rápido";"Disponível";"Porto";"Avenida Marechal Gomes da Costa, 855";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T14:25:01.0Z"
"PRT-00155";"PRT-00155-03";"Rápido";"Disponível";"Porto";"Avenida Marechal Gomes da Costa, 855";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-04-23T14:25:01.0Z"
"PRT-00156";"PRT-00156-01";"Rápido";"Disponível";"Porto";"Rua do Lidador, 109 -111";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-04-23T14:09:04.994Z"
"PRT-00156";"PRT-00156-02";"Rápido";"Disponível";"Porto";"Rua do Lidador, 109 -111";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T14:09:04.994Z"
"PRT-00156";"PRT-00156-03";"Rápido";"Disponível";"Porto";"Rua do Lidador, 109 -111";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T14:09:04.994Z"
"PRT-00158";"PRT-00158-02";"Semirrápido";"Disponível";"Porto";"Estr. da CircunvalaÃ§Ã£o 12 843";"KLC - Atlante";"Não";"Baixa Tensão Especial";"€0,2964/charge ";"€0,02/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-23T14:25:56.151Z"
"PRT-00158";"PRT-00158-01";"Semirrápido";"Disponível";"Porto";"Estr. da CircunvalaÃ§Ã£o 12 843";"KLC - Atlante";"Não";"Baixa Tensão Especial";"€0,2964/charge ";"€0,02/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-23T14:25:56.151Z"
"PRT-00161";"PRT-00161-04";"Semirrápido";"Disponível";"Porto";"Rua de Santa Catarina, 312 a 350";"CAP - CAPWATT Services, S.A.";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,025/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-23T13:32:06.907Z"
"PRT-00161";"PRT-00161-03";"Semirrápido";"Disponível";"Porto";"Rua de Santa Catarina, 312 a 350";"CAP - CAPWATT Services, S.A.";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,025/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-23T13:32:06.907Z"
"PRT-00161";"PRT-00161-01";"Semirrápido";"Disponível";"Porto";"Rua de Santa Catarina, 312 a 350";"CAP - CAPWATT Services, S.A.";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,025/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-23T13:32:06.907Z"
"PRT-00161";"PRT-00161-06";"Semirrápido";"Disponível";"Porto";"Rua de Santa Catarina, 312 a 350";"CAP - CAPWATT Services, S.A.";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,025/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-23T13:32:06.907Z"
"PRT-00161";"PRT-00161-05";"Semirrápido";"Disponível";"Porto";"Rua de Santa Catarina, 312 a 350";"CAP - CAPWATT Services, S.A.";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,025/min ";"";"Mennekes";"SOCKET";"22";"Em uso";"2023-04-23T13:32:06.907Z"
"PRT-00161";"PRT-00161-02";"Semirrápido";"Disponível";"Porto";"Rua de Santa Catarina, 312 a 350";"CAP - CAPWATT Services, S.A.";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,025/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-23T13:32:06.907Z"
"PRT-00162";"PRT-00162-03";"Rápido";"Disponível";"Porto";"R. de O Primeiro de Janeiro";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-04-23T12:18:41.471Z"
"PRT-00162";"PRT-00162-01";"Rápido";"Disponível";"Porto";"R. de O Primeiro de Janeiro";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T12:18:41.471Z"
"PRT-00162";"PRT-00162-02";"Rápido";"Disponível";"Porto";"R. de O Primeiro de Janeiro";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T12:18:41.471Z"
"PRT-00163";"PRT-00163-03";"Rápido";"Disponível";"Porto";"R. de O Primeiro de Janeiro";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-04-23T10:07:07.894Z"
"PRT-00163";"PRT-00163-02";"Rápido";"Disponível";"Porto";"R. de O Primeiro de Janeiro";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T10:07:07.894Z"
"PRT-00163";"PRT-00163-01";"Rápido";"Disponível";"Porto";"R. de O Primeiro de Janeiro";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T10:07:07.894Z"
"PRT-00164";"PRT-00164-03";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-04-23T12:39:34.755Z"
"PRT-00164";"PRT-00164-01";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T12:39:34.755Z"
"PRT-00164";"PRT-00164-02";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T12:39:34.755Z"
"PRT-00165";"PRT-00165-03";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"Mennekes";"CABLE";"43";"Fora de Serviço";"2023-04-23T06:13:28.613Z"
"PRT-00165";"PRT-00165-02";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T06:13:28.613Z"
"PRT-00165";"PRT-00165-01";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T06:13:28.613Z"
"PRT-00166";"PRT-00166-01";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T14:03:55.612Z"
"PRT-00166";"PRT-00166-02";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T14:03:55.612Z"
"PRT-00166";"PRT-00166-03";"Rápido";"Disponível";"Porto";"R. de Anselmo Braancamp 329";"HRZ - Power dot";"Não";"Média Tensão";"€0,3/charge ";"€0,075/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-04-23T14:03:55.612Z"
"PRT-00168";"PRT-00168-01";"Rápido";"Disponível";"Porto";"R. Sousa Prata 678";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T14:20:05.102Z"
